FL_DATE,OP_CARRIER,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,DISTANCE,CRS_ARR_TIME,TAXI_IN,TAXI_OUT,FL_DATE ,MONTH,DAY_OF_WEEK,DAY_NAME,DEP_HOUR,ROUTE
2018-01-01,UA,EWR,DEN,1517,1512.0,-5.0,1722.0,-23.0,0,1605.0,1745,10.0,15.0,2018-01-01,1,0,Monday,15,EWR-DEN
2018-01-01,UA,LAS,SFO,1115,1107.0,-8.0,1230.0,-24.0,0,414.0,1254,7.0,11.0,2018-01-01,1,0,Monday,11,LAS-SFO
2018-01-01,UA,SNA,DEN,1335,1330.0,-5.0,1636.0,-13.0,0,846.0,1649,5.0,15.0,2018-01-01,1,0,Monday,13,SNA-DEN
2018-01-01,UA,RSW,ORD,1546,1552.0,6.0,1754.0,-2.0,0,1120.0,1756,6.0,19.0,2018-01-01,1,0,Monday,15,RSW-ORD
2018-01-01,UA,ORD,ALB,630,650.0,20.0,936.0,14.0,0,723.0,922,10.0,13.0,2018-01-01,1,0,Monday,6,ORD-ALB
2018-01-01,UA,ORD,OMA,2241,2244.0,3.0,3.0,-11.0,0,416.0,14,2.0,15.0,2018-01-01,1,0,Monday,22,ORD-OMA
2018-01-01,UA,IAH,LAS,750,747.0,-3.0,900.0,-16.0,0,1222.0,916,6.0,14.0,2018-01-01,1,0,Monday,7,IAH-LAS
2018-01-01,UA,DEN,CID,1324,1318.0,-6.0,1600.0,-19.0,0,692.0,1619,6.0,11.0,2018-01-01,1,0,Monday,13,DEN-CID
2018-01-01,UA,SMF,EWR,2224,2237.0,13.0,636.0,-2.0,0,2500.0,638,9.0,10.0,2018-01-01,1,0,Monday,22,SMF-EWR
2018-01-01,UA,RIC,DEN,1601,1559.0,-2.0,1756.0,-17.0,0,1482.0,1813,8.0,12.0,2018-01-01,1,0,Monday,16,RIC-DEN
2018-01-01,UA,PDX,EWR,2240,2235.0,-5.0,631.0,-16.0,0,2434.0,647,7.0,9.0,2018-01-01,1,0,Monday,22,PDX-EWR
2018-01-01,UA,ORD,CLE,2059,2300.0,121.0,120.0,129.0,0,316.0,2311,8.0,24.0,2018-01-01,1,0,Monday,20,ORD-CLE
2018-01-01,UA,EWR,PDX,825,822.0,-3.0,1109.0,-26.0,0,2434.0,1135,5.0,15.0,2018-01-01,1,0,Monday,8,EWR-PDX
2018-01-01,UA,EWR,ATL,1044,1055.0,11.0,1315.0,-3.0,0,746.0,1318,5.0,11.0,2018-01-01,1,0,Monday,10,EWR-ATL
2018-01-01,UA,ORD,BTV,2114,2230.0,76.0,128.0,73.0,0,763.0,15,5.0,14.0,2018-01-01,1,0,Monday,21,ORD-BTV
2018-01-01,UA,MCO,LAX,653,747.0,54.0,1025.0,55.0,0,2218.0,930,22.0,14.0,2018-01-01,1,0,Monday,6,MCO-LAX
2018-01-01,UA,EWR,SMF,1810,1922.0,72.0,2201.0,25.0,0,2500.0,2136,4.0,16.0,2018-01-01,1,0,Monday,18,EWR-SMF
2018-01-01,UA,RSW,EWR,1250,1337.0,47.0,1606.0,29.0,0,1068.0,1537,6.0,12.0,2018-01-01,1,0,Monday,12,RSW-EWR
2018-01-01,UA,IAH,JAC,940,934.0,-6.0,1200.0,-18.0,0,1265.0,1218,4.0,18.0,2018-01-01,1,0,Monday,9,IAH-JAC
2018-01-01,UA,TYS,EWR,1131,1140.0,9.0,1312.0,-21.0,0,631.0,1333,5.0,9.0,2018-01-01,1,0,Monday,11,TYS-EWR
2018-01-01,UA,EWR,TYS,830,844.0,14.0,1055.0,6.0,0,631.0,1049,3.0,20.0,2018-01-01,1,0,Monday,8,EWR-TYS
2018-01-01,UA,SFO,IAH,530,521.0,-9.0,1054.0,-28.0,0,1635.0,1122,4.0,13.0,2018-01-01,1,0,Monday,5,SFO-IAH
2018-01-01,UA,RSW,ORD,1220,1213.0,-7.0,1422.0,-8.0,0,1120.0,1430,3.0,25.0,2018-01-01,1,0,Monday,12,RSW-ORD
2018-01-01,UA,SFO,HNL,1927,1925.0,-2.0,2250.0,-35.0,0,2398.0,2325,7.0,15.0,2018-01-01,1,0,Monday,19,SFO-HNL
2018-01-01,UA,JAC,EWR,1343,1351.0,8.0,2013.0,14.0,0,1874.0,1959,10.0,38.0,2018-01-01,1,0,Monday,13,JAC-EWR
2018-01-01,UA,BOS,SFO,1820,1826.0,6.0,2137.0,-11.0,0,2704.0,2148,15.0,24.0,2018-01-01,1,0,Monday,18,BOS-SFO
2018-01-01,UA,ORD,MIA,1405,1402.0,-3.0,1806.0,-4.0,0,1197.0,1810,9.0,18.0,2018-01-01,1,0,Monday,14,ORD-MIA
2018-01-01,UA,MSY,EWR,2043,2131.0,48.0,101.0,27.0,0,1167.0,34,7.0,10.0,2018-01-01,1,0,Monday,20,MSY-EWR
2018-01-01,UA,MIA,IAH,900,859.0,-1.0,1054.0,-2.0,0,964.0,1056,6.0,17.0,2018-01-01,1,0,Monday,9,MIA-IAH
2018-01-01,UA,EWR,LAX,1500,1515.0,15.0,1812.0,-8.0,0,2454.0,1820,8.0,19.0,2018-01-01,1,0,Monday,15,EWR-LAX
2018-01-01,UA,SEA,IAH,27,15.0,-12.0,612.0,-32.0,0,1874.0,644,11.0,15.0,2018-01-01,1,0,Monday,0,SEA-IAH
2018-01-01,UA,SAT,IAH,730,729.0,-1.0,820.0,-14.0,0,191.0,834,4.0,13.0,2018-01-01,1,0,Monday,7,SAT-IAH
2018-01-01,UA,SLC,EWR,1318,1314.0,-4.0,1912.0,-19.0,0,1969.0,1931,7.0,10.0,2018-01-01,1,0,Monday,13,SLC-EWR
2018-01-01,UA,MCO,SFO,852,854.0,2.0,1146.0,-17.0,0,2446.0,1203,4.0,10.0,2018-01-01,1,0,Monday,8,MCO-SFO
2018-01-01,UA,MSY,IAD,1758,1751.0,-7.0,2059.0,-21.0,0,955.0,2120,3.0,13.0,2018-01-01,1,0,Monday,17,MSY-IAD
2018-01-01,UA,DEN,RIC,950,948.0,-2.0,1500.0,-16.0,0,1482.0,1516,6.0,13.0,2018-01-01,1,0,Monday,9,DEN-RIC
2018-01-01,UA,ORD,RSW,1350,1348.0,-2.0,1737.0,-9.0,0,1120.0,1746,4.0,23.0,2018-01-01,1,0,Monday,13,ORD-RSW
2018-01-01,UA,RDU,ORD,955,951.0,-4.0,1058.0,-17.0,0,646.0,1115,3.0,14.0,2018-01-01,1,0,Monday,9,RDU-ORD
2018-01-01,UA,DEN,ORD,915,909.0,-6.0,1235.0,-7.0,0,888.0,1242,19.0,12.0,2018-01-01,1,0,Monday,9,DEN-ORD
2018-01-01,UA,EWR,FLL,1627,1624.0,-3.0,1944.0,6.0,0,1065.0,1938,6.0,38.0,2018-01-01,1,0,Monday,16,EWR-FLL
2018-01-01,UA,MIA,ORD,729,727.0,-2.0,936.0,-14.0,0,1197.0,950,11.0,14.0,2018-01-01,1,0,Monday,7,MIA-ORD
2018-01-01,UA,ORD,SAN,1215,1213.0,-2.0,1422.0,-19.0,0,1723.0,1441,1.0,18.0,2018-01-01,1,0,Monday,12,ORD-SAN
2018-01-01,UA,FLL,EWR,2025,2029.0,4.0,2306.0,-19.0,0,1065.0,2325,5.0,13.0,2018-01-01,1,0,Monday,20,FLL-EWR
2018-01-01,UA,IAD,DEN,2217,2235.0,18.0,8.0,-6.0,0,1452.0,14,5.0,14.0,2018-01-01,1,0,Monday,22,IAD-DEN
2018-01-01,UA,EWR,IAH,1959,2000.0,1.0,2253.0,-15.0,0,1400.0,2308,5.0,22.0,2018-01-01,1,0,Monday,19,EWR-IAH
2018-01-01,UA,DFW,IAD,1710,1703.0,-7.0,2041.0,-16.0,0,1172.0,2057,7.0,18.0,2018-01-01,1,0,Monday,17,DFW-IAD
2018-01-01,UA,DEN,SLC,2220,2216.0,-4.0,2348.0,-8.0,0,391.0,2356,3.0,24.0,2018-01-01,1,0,Monday,22,DEN-SLC
2018-01-01,UA,DEN,PDX,2220,2216.0,-4.0,1.0,-11.0,0,991.0,12,5.0,11.0,2018-01-01,1,0,Monday,22,DEN-PDX
2018-01-01,UA,DEN,ICT,2018,2017.0,-1.0,2225.0,-17.0,0,420.0,2242,4.0,13.0,2018-01-01,1,0,Monday,20,DEN-ICT
2018-01-01,UA,DEN,EWR,2025,2022.0,-3.0,141.0,-21.0,0,1605.0,202,6.0,11.0,2018-01-01,1,0,Monday,20,DEN-EWR
2018-01-01,UA,ANC,DEN,2340,2336.0,-4.0,629.0,-29.0,0,2405.0,658,6.0,13.0,2018-01-01,1,0,Monday,23,ANC-DEN
2018-01-01,UA,MSP,ORD,500,502.0,2.0,623.0,-11.0,0,334.0,634,12.0,13.0,2018-01-01,1,0,Monday,5,MSP-ORD
2018-01-01,UA,ALB,ORD,1004,1022.0,18.0,1124.0,-10.0,0,723.0,1134,8.0,8.0,2018-01-01,1,0,Monday,10,ALB-ORD
2018-01-01,UA,SFO,RNO,1048,1044.0,-4.0,1143.0,-10.0,0,192.0,1153,5.0,22.0,2018-01-01,1,0,Monday,10,SFO-RNO
2018-01-01,UA,SFO,EUG,2013,2003.0,-10.0,2141.0,-7.0,0,451.0,2148,9.0,19.0,2018-01-01,1,0,Monday,20,SFO-EUG
2018-01-01,UA,ORD,MCO,2113,2123.0,10.0,53.0,-4.0,0,1005.0,57,6.0,18.0,2018-01-01,1,0,Monday,21,ORD-MCO
2018-01-01,UA,ORD,MCI,2030,2111.0,41.0,2235.0,26.0,0,403.0,2209,5.0,21.0,2018-01-01,1,0,Monday,20,ORD-MCI
2018-01-01,UA,ORD,DTW,2055,2112.0,17.0,2316.0,0.0,0,235.0,2316,7.0,14.0,2018-01-01,1,0,Monday,20,ORD-DTW
